Codigo;Valor
3152;CAPITÃES, OFICIAIS DE COBERTA E PRÁTICOS
3153;PILOTOS DE AVIAÇÃO E AFINS
3154;CONTROLADORES DE TRÁFEGO AÉREO
3155;TÉCNICOS EM SEGURANÇA AERONÁUTICA
32;PROFISSIONAIS DE NÍVEL MÉDIO DA SAÚDE E AFINS
321;TÉCNICOS MÉDICOS E FARMACÊUTICOS
3211;TÉCNICOS EM APARELHOS DE DIAGNÓSTICO E TRATAMENTO MÉDICO
3212;TÉCNICOS DE LABORATÓRIOS MÉDICOS
3213;TÉCNICOS E ASSISTENTES FARMACÊUTICOS
3214;TÉCNICOS DE PRÓTESES MÉDICAS E DENTÁRIAS
322;PROFISSIONAIS DE NÍVEL MÉDIO DE ENFERMAGEM E PARTOS 
3221;PROFISSIONAIS DE NÍVEL MÉDIO DE ENFERMAGEM 
3222;PROFISSIONAIS DE NÍVEL MÉDIO DE PARTOS
323;PROFISSIONAIS DE NÍVEL MÉDIO DE MEDICINA TRADICIONAL E ALTERNATIVA
3230;PROFISSIONAIS DE NÍVEL MÉDIO DE MEDICINA TRADICIONAL E ALTERNATIVA
324;TÉCNICOS E ASSISTENTES VETERINÁRIOS
3240;TÉCNICOS E ASSISTENTES VETERINÁRIOS
325;OUTROS PROFISSIONAIS DE NÍVEL MÉDIO DA SAÚDE
3251;DENTISTAS AUXILIARES E AJUDANTES DE ODONTOLOGIA
3252;TÉCNICOS EM DOCUMENTAÇÃO SANITÁRIA
3253;TRABALHADORES COMUNITÁRIOS DA SAÚDE
3254;TÉCNICOS EM OPTOMETRIA E ÓPTICOS
3255;TÉCNICOS E ASSISTENTES FISIOTERAPEUTAS
3256; ASSISTENTES DE MEDICINA
3257;INSPETORES DE SAÚDE LABORAL, AMBIENTAL E AFINS
3258;AJUDANTES DE AMBULÂNCIAS
3259;PROFISSIONAIS DE NÍVEL MÉDIO DA SAÚDE NÃO CLASSIFICADOS ANTERIORMENTE 
33;PROFISSIONAIS DE NÍVEL MÉDIO EM OPERAÇÕES FINANCEIRAS E ADMINISTRATIVAS
331;PROFISSIONAIS DE NÍVEL MÉDIO EM FINANÇAS E MATEMÁTICA
3311;AGENTES E CORRETORES DE BOLSA, CÂMBIO E OUTROS SERVIÇOS FINANCEIROS
3312;AGENTES DE EMPRÉSTIMOS E FINANCIAMENTO
3313;CONTABILISTAS E GUARDA LIVROS
3314;PROFISSIONAIS DE NÍVEL MÉDIO DE SERVIÇOS ESTATÍSTICOS, MATEMÁTICOS E AFINS
3315;AVALIADORES
332;AGENTES E CORRETORES COMERCIAIS
3321;AGENTES DE SEGUROS
3322;REPRESENTANTES COMERCIAIS
3323;AGENTES DE COMPRAS
3324;CORRETORES DE COMERCIALIZAÇÃO
333;AGENTES DE SERVIÇOS COMERCIAIS
3331;DESPACHANTES ADUANEIROS
3332;ORGANIZADORES DE CONFERÊNCIAS E EVENTOS
3333;AGENTES DE EMPREGO E AGENCIADORES DE MÃO DE OBRA
3334;AGENTES IMOBILIÁRIOS
3339;AGENTES DE SERVIÇOS COMERCIAIS NÃO CLASSIFICADOS ANTERIORMENTE
334;SECRETÁRIOS ADMINISTRATIVOS E ESPECIALIZADOS
3341;SUPERVISORES DE SECRETARIA
3342;SECRETÁRIOS JURÍDICOS
3343;SECRETÁRIOS EXECUTIVOS E ADMINISTRATIVOS
3344;SECRETÁRIOS DE MEDICINA
335;AGENTES DA ADMINISTRAÇÃO PÚBLICA PARA APLICAÇÃO DA LEI E AFINS
3351;AGENTES ADUANEIROS E INSPETORES DE FRONTEIRAS
3352;AGENTES DA ADMINISTRAÇÃO TRIBUTÁRIA
3353;AGENTES DE SERVIÇOS DE SEGURIDADE SOCIAL
3354;AGENTES DE SERVIÇOS DE EXPEDIÇÃO DE LICENÇAS E PERMISSÕES
3355;INSPETORES DE POLÍCIA E DETETIVES
3359;AGENTES DA ADMINISTRAÇÃO PÚBLICA PARA APLICAÇÃO DA LEI E AFINS NÃO CLASSIFICADOS ANTERIORMENTE
34;PROFISSIONAIS DE NÍVEL MÉDIO DE SERVIÇOS JURÍDICOS, SOCIAIS, CULTURAIS E AFINS
341;PROFISSIONAIS DE NÍVEL MÉDIO DE SERVIÇOS JURÍDICOS, SOCIAIS E RELIGIOSOS
3411;PROFISSIONAIS DE NÍVEL MÉDIO DO DIREITO E SERVIÇOS LEGAIS E AFINS
3412;TRABALHADORES E ASSISTENTES SOCIAIS DE NÍVEL MÉDIO
3413;AUXILIARES LEIGOS DE RELIGIÃO
342;TRABALHADORES DO ESPORTE E CONDICIONAMENTO FÍSICO
3421;ATLETAS E ESPORTISTAS
3422;TREINADORES, INSTRUTORES E ÁRBITROS DE ATIVIDADES ESPORTIVAS
3423;INSTRUTORES DE EDUCAÇÃO FÍSICA E ATIVIDADES RECREATIVAS
343;PROFISSIONAIS DE NÍVEL MÉDIO EM ATIVIDADES CULTURAIS, ARTÍSTICAS E CULINÁRIAS
3431;FOTÓGRAFOS
3432;DESENHISTAS E DECORADORES DE INTERIORES
3433;TÉCNICOS EM GALERIAS DE ARTE, MUSEUS E BIBLIOTECAS
3434;CHEFES DE COZINHA
3435;OUTROS PROFISSIONAIS DE NÍVEL MÉDIO EM ATIVIDADES CULTURAIS E ARTÍSTICAS
35;TÉCNICOS DE NÍVEL MÉDIO DA TECNOLOGIA DA INFORMAÇÃO E DAS COMUNICAÇÕES
351;TÉCNICOS EM OPERAÇÕES DE TECNOLOGIA DA INFORMAÇÃO E DAS COMUNICAÇÕES E ASSISTÊNCIA AO USUÁRIO
3511;TÉCNICOS EM OPERAÇÕES DE TECNOLOGIA DA INFORMAÇÃO E DAS COMUNICAÇÕES 
3512;TÉCNICOS EM ASSISTÊNCIA AO USUÁRIO DE TECNOLOGIA DA INFORMAÇÃO E DAS COMUNICAÇÕES
3513;TÉCNICOS DE REDES E SISTEMAS DE COMPUTADORES
3514;TÉCNICOS DA WEB
352;TÉCNICOS EM TELECOMUNICAÇÕES E RADIODIFUSÃO 
3521;TÉCNICOS DE RADIODIFUSÃO E GRAVAÇÃO AUDIOVISUAL
3522;TÉCNICOS DE ENGENHARIA DE TELECOMUNICAÇÕES
4;TRABALHADORES DE APOIO ADMINISTRATIVO
41;ESCRITURÁRIOS
411;ESCRITURÁRIOS GERAIS
4110;ESCRITURÁRIOS GERAIS
412;SECRETÁRIOS (GERAL)
4120;SECRETÁRIOS (GERAL)
413;OPERADORES DE MÁQUINAS DE ESCRITÓRIO
4131;OPERADORES DE MÁQUINAS DE PROCESSAMENTO DE TEXTO E MECANÓGRAFOS
4132;OPERADORES DE ENTRADA DE DADOS
42;TRABALHADORES DE ATENDIMENTO DIRETO AO PÚBLICO
421;CAIXAS DE BANCO, COBRADORES, PAGADORES E AFINS
4211;CAIXAS DE BANCO E AFINS
4212;COLETORES DE APOSTAS E DE JOGOS
4213;TRABALHADORES EM ESCRITÓRIOS DE EMPRÉSTIMOS E PENHOR
4214;COBRADORES E AFINS
422;TRABALHADORES DE SERVIÇOS DE INFORMAÇÃO AO CLIENTE
4221;TRABALHADORES DE AGÊNCIAS DE VIAGEM
4222;TRABALHADORES DE CENTRAIS DE ATENDIMENTO
4223;TELEFONISTAS
4224;RECEPCIONISTAS DE HOTÉIS
4225;TRABALHADORES DOS SERVIÇOS DE INFORMAÇÕES
4226;RECEPCIONISTAS EM GERAL
4227;ENTREVISTADORES DE PESQUISAS DE MERCADO
4229;TRABALHADORES DE SERVIÇOS DE INFORMAÇÃO AO CLIENTE NÃO CLASSIFICADOS ANTERIORMENTE
43;TRABALHADORES DE CÁLCULOS NUMÉRICOS E ENCARREGADOS DO REGISTRO DE MATERIAIS
431;AUXILIARES CONTÁBEIS E FINANCEIROS
4311;TRABALHADORES DE CONTABILIDADE E CÁLCULO DE CUSTOS
4312;TRABALHADORES DE SERVIÇOS ESTATÍSTICOS, FINANCEIROS E DE SEGUROS
4313;TRABALHADORES ENCARREGADOS DE FOLHA DE PAGAMENTO
432;TRABALHADORES ENCARREGADOS DE REGISTROS DE MATERIAIS E DE TRANSPORTES 
4321;TRABALHADORES DE CONTROLE DE ABASTECIMENTO E ESTOQUES
4322;TRABALHADORES DE SERVIÇOS DE APOIO À PRODUÇÃO
4323;TRABALHADORES DE SERVIÇOS DE TRANSPORTE
44;OUTROS TRABALHADORES DE APOIO ADMINISTRATIVO
441;OUTROS TRABALHADORES DE APOIO ADMINISTRATIVO
4411;TRABALHADORES DE BIBLIOTECAS
4412;TRABALHADORES DE SERVIÇOS DE CORREIOS
4413;CODIFICADORES DE DADOS, REVISORES DE PROVAS DE IMPRESSÃO E AFINS
4414;OUTROS ESCREVENTES
4415;TRABALHADORES DE ARQUIVOS
4416;TRABALHADORES DO SERVIÇO DE PESSOAL
4419;TRABALHADORES DE APOIO ADMINISTRATIVO NÃO CLASSIFICADOS ANTERIORMENTE
5;TRABALHADORES DOS SERVIÇOS, VENDEDORES DOS COMÉRCIOS E MERCADOS
51;TRABALHADORES DOS SERVIÇOS PESSOAIS
511;TRABALHADORES DO SERVIÇO DIRETO AOS PASSAGEIROS
5111;AUXILIARES DE SERVIÇO DE BORDO
5112;FISCAIS E COBRADORES DE TRANSPORTES PÚBLICOS
5113;GUIAS DE TURISMO
512;COZINHEIROS
5120;COZINHEIROS
513;GARÇONS E ATENDENTES DE BAR 
5131;GARÇONS 
5132; ATENDENTES DE BAR
514;CABELEIREIROS, ESPECIALISTAS EM TRATAMENTO DE BELEZA E AFINS
5141;CABELEIREIROS
5142;ESPECIALISTAS EM TRATAMENTO DE BELEZA E AFINS
515;SUPERVISORES DE MANUTENÇÃO E LIMPEZA DE EDIFÍCIOS
5151;SUPERVISORES DE MANUTENÇÃO E LIMPEZA DE EDIFÍCIOS EM ESCRITÓRIOS, HOTÉIS E ESTABELECIMENTOS
5152;GOVERNANTAS E MORDOMOS DOMÉSTICOS 
5153;PORTEIROS E ZELADORES
516;OUTROS TRABALHADORES DE SERVIÇOS PESSOAIS
5161;ASTRÓLOGOS, ADIVINHOS E AFINS
5162;ACOMPANHANTES E CRIADOS PARTICULARES
5163;TRABALHADORES DE FUNERÁRIAS E EMBALSAMADORES
5164;CUIDADORES DE ANIMAIS
5165;INSTRUTORES DE AUTOESCOLA
5168;TRABALHADORES DO SEXO
5169;TRABALHADORES DE SERVIÇOS PESSOAIS NÃO CLASSIFICADOS ANTERIORMENTE
52;VENDEDORES 
521;VENDEDORES DE RUA E POSTOS DE MERCADO
5211;VENDEDORES DE QUIOSQUES E POSTOS DE MERCADOS
5212;VENDEDORES AMBULANTES DE SERVIÇOS DE ALIMENTAÇÃO
522;COMERCIANTES E VENDEDORES DE LOJAS
5221;COMERCIANTES DE LOJAS
5222;SUPERVISORES DE LOJAS
5223;BALCONISTAS E VENDEDORES DE LOJAS
523;CAIXAS E EXPEDIDORES DE BILHETES
5230;CAIXAS E EXPEDIDORES DE BILHETES
524;OUTROS VENDEDORES
5241;MODELOS DE MODA, ARTE E PUBLICIDADE
5242;DEMONSTRADORES DE LOJAS
5243;VENDEDORES A DOMICILIO
5244;VENDEDORES POR TELEFONE
5245;FRENTISTAS DE POSTO DE GASOLINA
5246;BALCONISTAS DOS SERVIÇOS DE ALIMENTAÇÃO
5249;VENDEDORES NÃO CLASSIFICADOS ANTERIORMENTE
53;TRABALHADORES DOS CUIDADOS PESSOAIS
531;CUIDADORES DE CRIANÇAS E AJUDANTES DE PROFESSORES
5311;CUIDADORES DE CRIANÇAS 
5312;AJUDANTES DE PROFESSORES
532;TRABALHADORES DE CUIDADOS PESSOAIS NOS SERVIÇOS DE SAÚDE
5321;TRABALHADORES DE CUIDADOS PESSOAIS EM INSTITUIÇÕES
5322;TRABALHADORES DE CUIDADOS PESSOAIS A DOMICÍLIOS
5329;TRABALHADORES DE CUIDADOS PESSOAIS NOS SERVIÇOS DE SAÚDE NÃO CLASSIFICADOS ANTERIORMENTE
54;TRABALHADORES DOS SERVIÇOS DE PROTEÇÃO E SEGURANÇA
541;TRABALHADORES DOS SERVIÇOS DE PROTEÇÃO E SEGURANÇA
5411;BOMBEIROS
5412;POLICIAIS
5413;GUARDIÕES DE PRESÍDIOS
5414;GUARDAS DE SEGURANÇA
5419;TRABALHADORES DOS SERVIÇOS DE PROTEÇÃO E SEGURANÇA NÃO CLASSIFICADOS ANTERIORMENTE
6;TRABALHADORES QUALIFICADOS DA AGROPECUÁRIA, FLORESTAIS, DA CAÇA E DA PESCA 
61;AGRICULTORES E TRABALHADORES QUALIFICADOS DA AGROPECUÁRIA 
611;AGRICULTORES E TRABALHADORES QUALIFICADOS EM ATIVIDADES DA AGRICULTURA
6111;AGRICULTORES E TRABALHADORES QUALIFICADOS EM ATIVIDADES DA AGRICULTURA (EXCLUSIVE HORTAS, VIVEIROS E JARDINS)
6112;AGRICULTORES E TRABALHADORES QUALIFICADOS NO CULTIVO DE HORTAS, VIVEIROS E JARDINS
6114;AGRICULTORES E TRABALHADORES QUALIFICADOS DE CULTIVOS MISTOS
612;CRIADORES E TRABALHADORES QUALIFICADOS DA PECUÁRIA 
6121;CRIADORES DE GADO E TRABALHADORES QUALIFICADOS DA CRIAÇÃO DE GADO
6122;AVICULTORES E TRABALHADORES QUALIFICADOS DA AVICULTURA
6123;APICULTORES, SERICICULTORES E TRABALHADORES QUALIFICADOS DA APICULTURA E SERICICULTURA
6129;OUTROS CRIADORES E TRABALHADORES QUALIFICADOS DA PECUÁRIA NÃO CLASSIFICADOS ANTERIORMENTE
613;PRODUTORES E TRABALHADORES QUALIFICADOS DE EXPLORAÇÃO AGROPECUÁRIA MISTA 
6130;PRODUTORES E TRABALHADORES QUALIFICADOS DE EXPLORAÇÃO AGROPECUÁRIA MISTA 
62;TRABALHADORES FLORESTAIS QUALIFICADOS, PESCADORES E CAÇADORES
621;TRABALHADORES FLORESTAIS QUALIFICADOS E AFINS
6210;TRABALHADORES FLORESTAIS QUALIFICADOS E AFINS
622;PESCADORES E CAÇADORES
6221;TRABALHADORES DA AQUICULTURA
6224;CAÇADORES
6225;PESCADORES
